City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Galveston,29.3669,-94.9669,55.0,54,1,16.11,US,1612200216
Esperance,-33.8667,121.9,59.0,82,0,9.22,AU,1612200216
Caravelas,-17.7125,-39.2481,85.71,54,91,9.78,BR,1612200216
Pemberton,50.3164,-122.8027,32.0,100,90,1.52,CA,1612200217
Nhulunbuy,-12.2333,136.7667,77.0,88,100,6.91,AU,1612200217
Narganá,9.4428,-78.5906,81.9,73,98,11.81,PA,1612200217
Chicama,-7.8447,-79.1469,71.6,78,0,12.66,PE,1612200217
Treinta y Tres,-33.2333,-54.3833,80.42,69,38,5.17,UY,1612199948
Springbok,-29.6643,17.8865,72.64,49,0,16.08,ZA,1612200217
Chumikan,54.7183,135.315,-29.27,77,0,16.35,RU,1612200217
Belaya Gora,68.5333,146.4167,-18.45,88,100,14.41,RU,1612200217
Sur,22.5667,59.5289,67.95,74,0,0.29,OM,1612200217
Blagoveshchenka,52.8333,79.8667,11.91,92,100,5.53,RU,1612200217
Krabi,8.0726,98.9105,75.2,88,20,3.44,TH,1612200217
Anchovy,18.4103,-77.9317,82.4,65,20,10.36,JM,1612200217
Hambantota,6.1241,81.1185,78.42,75,14,17.31,LK,1612200217
Elko,41.0002,-115.5012,36.0,64,100,1.01,US,1612200128
Lagoa,39.05,-27.9833,59.99,79,73,29.04,PT,1612200218
Vaitape,-16.5167,-151.75,80.87,74,100,12.57,PF,1612200218
San Buenaventura,27.0833,-101.5333,57.18,41,0,6.87,MX,1612200218
Beya,53.0533,90.9139,-3.55,90,63,2.33,RU,1612200218
Ol'khovatka,50.2831,39.2872,37.92,94,100,11.68,RU,1612200219
San Policarpo,12.1791,125.5072,79.66,85,100,16.26,PH,1612200219
Poronaysk,49.2167,143.1167,0.0,93,100,9.4,RU,1612200219
Senneterre,48.3835,-77.2328,5.0,72,20,4.61,CA,1612200219
Kāmalāpuram,14.5833,78.65,72.43,64,0,6.64,IN,1612200219
Qaqortoq,60.7167,-46.0333,33.8,60,75,1.14,GL,1612200219
Angoram,-4.0625,144.0661,73.69,98,100,1.43,PG,1612200219
San Lorenzo,-25.3333,-57.5333,77.0,94,75,6.91,PY,1612200157
Berlevåg,70.8578,29.0864,26.6,80,75,12.66,NO,1612200219
Dubrovka,53.6907,33.5071,13.44,96,68,3.27,RU,1612200219
Puerto Baquerizo Moreno,-0.9,-89.6,82.4,83,75,11.5,EC,1612200145
Songjianghe,42.1859,127.479,-7.78,88,99,6.8,CN,1612200219
Sioux Lookout,50.1001,-91.917,19.4,86,90,6.91,CA,1612200219
Sibu,2.3,111.8167,75.2,100,40,2.3,MY,1612200220
Ust-Nera,64.5667,143.2,-29.42,75,99,6.71,RU,1612200220
San Luis,-33.295,-66.3356,62.56,71,94,14.36,AR,1612200220
Port Hueneme,34.1478,-119.1951,59.0,82,90,4.61,US,1612200220
Clyde River,70.4692,-68.5914,-13.0,77,75,20.71,CA,1612200220
Bryukhovetskaya,45.806,38.9996,49.8,62,100,13.47,RU,1612200220
Comodoro Rivadavia,-45.8667,-67.5,87.8,14,0,14.97,AR,1612200221
Fengrun,39.8333,118.1167,23.0,18,0,23.0,CN,1612200221
Cockburn Town,21.4612,-71.1419,77.09,80,99,17.67,TC,1612200076
Tari,12.4086,4.4914,88.97,12,57,3.78,NG,1612200221
Hasaki,35.7333,140.8333,55.4,76,75,6.91,JP,1612200221
Egvekinot,66.3167,-179.1667,-3.69,94,100,19.22,RU,1612200221
Acapulco de Juárez,16.8634,-99.8901,84.2,70,1,5.75,MX,1612200140
Karakol,42.4907,78.3936,31.01,88,100,3.47,KG,1612200221
Moguer,37.2756,-6.8385,63.0,68,43,10.0,ES,1612200222
Shenjiamen,29.9576,122.298,47.82,87,58,10.2,CN,1612200222
Øksfjord,70.2396,22.3479,24.8,74,20,4.61,NO,1612200222
Bo Rai,12.5728,102.5371,73.02,74,100,0.27,TH,1612200222
Agía Galíni,35.1,24.6833,57.99,84,77,4.47,GR,1612200222
Plettenberg Bay,-34.0527,23.3716,63.95,64,42,14.18,ZA,1612200222
Polunochnoye,60.8697,60.4153,14.31,95,44,5.77,RU,1612200222
Arrondissement du Havre,49.5833,0.3333,44.6,81,90,5.75,FR,1612200222
Mildura,-34.2,142.15,60.8,59,0,12.66,AU,1612200222
Powell River,49.8496,-124.5361,42.8,100,90,6.62,CA,1612200222
Chase,50.8165,-119.6857,34.0,100,100,1.14,CA,1612200223
Remanso,-9.6179,-42.0831,87.71,48,21,6.29,BR,1612200223
Coquimbo,-29.9533,-71.3436,66.2,77,75,12.66,CL,1612200223
Noumea,-22.2763,166.4572,73.4,78,75,12.88,NC,1612200223
Kalety,50.5627,18.8926,24.01,93,90,17.27,PL,1612200223
Hokitika,-42.7167,170.9667,55.72,88,59,3.24,NZ,1612200223
Harrisburg,40.2737,-76.8844,32.0,69,90,9.22,US,1612200180
Laje,-10.1833,-40.9667,89.69,39,54,7.9,BR,1612200223
Samarai,-10.6167,150.6667,80.76,82,95,15.97,PG,1612200223
Moerai,-22.4333,-151.3333,79.47,67,22,4.43,PF,1612200223
Bar,49.0772,27.6826,24.01,10,96,11.01,UA,1612200223
Tarakan,3.3,117.6333,77.32,89,100,14.81,ID,1612200223
Gerāsh,27.6652,54.1371,57.2,23,0,4.99,IR,1612200086
Livingston,55.9029,-3.5226,37.0,93,90,3.44,GB,1612200223
Nelson Bay,-32.7167,152.15,68.0,100,75,10.36,AU,1612200223
Mbanza-Ngungu,-5.25,14.8667,74.21,93,62,2.89,CD,1612200224
Hangu,39.2489,117.7892,23.0,25,0,8.95,CN,1612200224
Poliçan,40.6122,20.0981,47.93,81,96,6.8,AL,1612200224
Tilichiki,60.4667,166.1,7.11,96,98,8.79,RU,1612200224
Cruzeiro do Sul,-29.5128,-51.9853,86.0,62,18,4.0,BR,1612200224
High Rock,26.6208,-78.2833,71.6,68,75,17.27,BS,1612200224
Ballina,-28.8667,153.5667,69.8,94,90,5.75,AU,1612200225
Canoinhas,-26.1772,-50.39,83.55,51,74,4.7,BR,1612200225
Ibotirama,-12.1853,-43.2206,94.15,35,46,1.36,BR,1612200225
Grand Gaube,-20.0064,57.6608,82.0,80,7,8.99,MU,1612200225
Boende,-0.2167,20.8667,82.47,58,44,1.88,CD,1612200225
Kalmunai,7.4167,81.8167,77.7,83,10,7.47,LK,1612200225
Tigre,-34.426,-58.5796,78.01,83,75,5.75,AR,1612200225
Severodvinsk,64.5635,39.8302,21.2,93,90,6.71,RU,1612200225
Puerto Escondido,15.85,-97.0667,82.4,78,1,5.75,MX,1612200225
Ambilobe,-13.2,49.05,77.25,88,93,1.1,MG,1612200225
Abhā,18.2164,42.5053,60.8,88,0,5.75,SA,1612200226
Lanquín,15.5667,-89.9667,62.6,94,75,6.91,GT,1612200226
Sterling,39.0062,-77.4286,30.99,86,90,12.66,US,1612200226
La Rioja,42.25,-2.5,60.8,55,40,16.11,ES,1612200226
Dali,25.7,100.1833,43.48,63,0,4.45,CN,1612200226
Guía de Isora,28.2115,-16.7795,77.0,38,0,16.11,ES,1612200226
Osa,57.2829,55.4567,19.71,96,100,10.33,RU,1612200226
Karyés,37.3,22.5,57.99,94,75,4.63,GR,1612200226
Manthani,18.65,79.6667,69.6,24,0,5.19,IN,1612200226
Harper,4.375,-7.7169,81.61,80,41,8.88,LR,1612200226
Fort Nelson,58.8053,-122.7002,-9.4,77,75,4.61,CA,1612200226
Province of Brindisi,40.5833,17.6667,59.0,82,75,5.75,IT,1612200100
Eyl,7.9803,49.8164,73.13,68,38,18.9,SO,1612200227
Rawson,-43.3002,-65.1023,82.96,22,0,9.71,AR,1612200047
Vanimo,-2.6741,141.3028,77.2,86,99,10.8,PG,1612200227
Ugoofaaru,5.6667,73.0,82.06,76,98,11.1,MV,1612200070
Puerto Ayacucho,5.6639,-67.6236,91.53,52,97,1.07,VE,1612200227
Taltal,-25.4,-70.4833,71.56,62,20,7.38,CL,1612200227
Smithers,54.7804,-127.1743,21.2,93,90,4.61,CA,1612200227
Jasper,37.2001,-94.3502,35.01,75,75,10.36,US,1612200220
Ostrovnoy,68.0531,39.5131,19.51,96,100,12.06,RU,1612200227
Mackenzie,55.2999,-123.1698,19.4,93,90,3.44,CA,1612200227
Lerwick,60.1545,-1.1494,33.8,80,20,10.36,GB,1612200227
Ashti,19.3833,76.2333,70.7,24,0,8.81,IN,1612200227
Bayir,37.2687,28.2167,64.4,59,75,20.71,TR,1612200228
Saint George,37.1041,-113.5841,48.0,57,1,3.44,US,1612200061
Yulara,-25.2406,130.9889,82.4,44,39,11.5,AU,1612200228
Somerset West,-34.084,18.8211,75.2,43,0,18.41,ZA,1612200228
Maniitsoq,65.4167,-52.9,14.18,94,100,20.6,GL,1612200228
São Mateus do Maranhão,-4.0417,-44.475,84.11,79,90,4.43,BR,1612199963
Loandjili,-4.7561,11.8578,82.26,78,89,9.71,CG,1612200228
Kumul,42.8,93.45,24.31,80,25,2.15,CN,1612200228
Kaduqli,11.0167,29.7167,85.78,14,10,9.24,SD,1612200229
Conde,-7.2597,-34.9075,86.0,58,75,13.8,BR,1612200229
Mezen',65.8522,44.24,14.81,96,100,8.9,RU,1612200229
Alyangula,-13.8483,136.4192,84.2,79,100,5.75,AU,1612200229
Kamina,-8.7386,24.9906,67.55,91,100,1.3,CD,1612200229
Belyy Yar,53.6039,91.3903,-16.6,76,47,1.7,RU,1612200229
Codó,-4.4553,-43.8856,83.66,77,100,3.69,BR,1612200155
Santa Marta,11.2408,-74.199,87.01,68,45,1.01,CO,1612200042
Alvarães,-3.2208,-64.8042,77.0,94,75,5.75,BR,1612200229
Namtsy,62.7161,129.6658,-50.8,58,58,2.24,RU,1612200229
Adré,13.4667,22.2,79.83,17,3,8.68,TD,1612200229
Pandan,14.0453,124.1694,77.54,84,77,12.46,PH,1612200229
Adiaké,5.2863,-3.304,86.0,79,20,12.66,CI,1612200229
Araouane,18.9048,-3.5265,83.39,12,14,8.37,ML,1612200229
Natitingou,10.3042,1.3796,91.4,9,0,4.61,BJ,1612200230
Jacareacanga,-6.2222,-57.7528,89.6,62,75,5.75,BR,1612200230
Vila Franca do Campo,37.7167,-25.4333,64.0,88,75,16.11,PT,1612200230
Babu,24.4167,111.5167,62.38,62,89,6.22,CN,1612200230
Sibut,5.718,19.0739,87.73,19,91,1.12,CF,1612200062
Atherton,53.5237,-2.4935,42.01,47,74,4.0,GB,1612200230
Muli,2.9167,73.5667,83.32,74,20,13.4,MV,1612200230
Melilla,35.2937,-2.9383,64.4,77,20,23.02,ES,1612200230
Mendi,-6.1761,143.6513,56.5,100,100,1.23,PG,1612200230
Hammerfest,70.6634,23.6821,19.4,86,40,6.91,NO,1612200037
Lüderitz,-26.6481,15.1594,71.55,64,0,24.02,NA,1612200230
Tabuk,17.4189,121.4443,66.16,89,66,0.4,PH,1612200230
Albury,-36.0833,146.9167,62.6,100,75,3.74,AU,1612200230
Lüshunkou,38.8,121.2667,15.8,41,0,4.47,CN,1612200231
Gagnoa,6.1293,-5.9437,91.94,38,63,2.82,CI,1612200231
Zalesovo,53.9939,84.7431,6.13,85,13,1.74,RU,1612200231
Borogontsy,62.6683,131.1683,-52.73,77,61,4.36,RU,1612200231
Seoul,37.5683,126.9778,26.6,42,0,9.22,KR,1612200074
Douglas,41.3,-96.167,28.4,80,90,3.44,US,1612200104
Riyadh,24.6877,46.7219,68.0,19,0,5.75,SA,1612200231
Abu Kamal,34.4506,40.9171,55.99,49,0,8.95,SY,1612200231
Launceston,-41.45,147.1667,53.01,81,16,9.22,AU,1612200231
Rundu,-17.9333,19.7667,71.98,85,92,6.49,NA,1612200231
Rodrigues Alves,-7.738,-72.6509,89.6,62,75,2.3,BR,1612200231
Dezful,32.3811,48.4058,58.24,39,0,5.41,IR,1612200231
Santa Rosa,14.3122,121.1114,77.0,73,75,2.3,PH,1612200231
Nome,64.5011,-165.4064,6.8,61,90,27.63,US,1612200232
Padang,-0.9492,100.3543,75.2,94,40,2.3,ID,1612200232
Pacific Grove,36.6177,-121.9166,53.01,87,75,4.61,US,1612200232
Hobyo,5.3505,48.5268,76.84,70,66,20.67,SO,1612200232
Port Blair,11.6667,92.75,79.07,77,0,12.39,IN,1612200232
Kerman,30.2832,57.0788,42.8,19,0,4.61,IR,1612200232
Kidal,18.4411,1.4078,83.16,11,0,6.53,ML,1612200232
Manzhouli,49.6,117.4333,-24.59,81,81,7.99,CN,1612200232
Utmanzai,34.188,71.7629,55.4,50,20,4.61,PK,1612200148
